GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,SAINC7N,50,"...","Wages and salaries by place of work (thousands of dollars)","Thousands of dollars",4177471000,4456769000,4823765000,4950126000,4992622000,5133728000,5416803000,5688398000,6051357000,6392832000,6531099000,6241491000,6363368000,6615753000,6918166000,7104786000,7467705000,7849960000,8077057000,8455046000,8879507000
 "00000","United States", ,SAINC7N,81,"111-112"," Farm wages and salaries","Thousands of dollars",15883000,16169000,16970000,17919000,17911000,17574000,18954000,19022000,18764000,21258000,21132000,21349000,20292000,19323000,23746000,23768000,24178000,22786000,24248000,24305000,24305000
 "00000","United States", ,SAINC7N,82,"..."," Nonfarm wages and salaries","Thousands of dollars",4161588000,4440600000,4806795000,4932207000,4974711000,5116154000,5397849000,5669376000,6032593000,6371574000,6509967000,6220142000,6343076000,6596430000,6894420000,7081018000,7443527000,7827174000,8052809000,8430741000,8855202000
 "00000","United States", ,SAINC7N,90,"113-814","  Private nonfarm wages and salaries","Thousands of dollars",3469473000,3716124000,4036467000,4120428000,4112766000,4215346000,4459250000,4692244000,5012354000,5297475000,5381050000,5061075000,5168950000,5419826000,5714065000,5890816000,6224688000,6569320000,6763619000,7102020000,7472568000
 "00000","United States", ,SAINC7N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",9080000,9544000,9881000,10039000,10180000,10572000,11001000,11627000,12145000,12741000,13200000,12681000,13648000,14014000,14989000,15905000,16826000,18100000,19344000,20018000,21159000
 "00000","United States", ,SAINC7N,101,"113","    Forestry and logging","Thousands of dollars",2443000,2472000,2450000,2360000,2356000,2337000,2420000,2488000,2499000,2509000,2448000,2121000,2300000,2289000,2396000,2482000,2601000,2754000,2745000,2646000,2734000
 "00000","United States", ,SAINC7N,102,"114","    Fishing, hunting and trapping","Thousands of dollars",479000,554000,564000,499000,499000,513000,527000,567000,571000,575000,587000,541000,608000,671000,686000,634000,610000,629000,665000,719000,771000
 "00000","United States", ,SAINC7N,103,"115","    Support activities for agriculture and forestry","Thousands of dollars",6158000,6518000,6867000,7180000,7325000,7722000,8054000,8572000,9075000,9657000,10165000,10019000,10740000,11054000,11907000,12789000,13615000,14717000,15934000,16653000,17654000
 "00000","United States", ,SAINC7N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",29471000,28591000,29639000,32281000,30671000,31205000,34678000,40274000,47921000,53829000,62731000,54969000,58993000,69412000,76937000,79585000,86850000,78150000,63235000,63997000,70551000
 "00000","United States", ,SAINC7N,201,"211","    Oil and gas extraction","Thousands of dollars",10235000,10111000,10863000,11639000,11218000,11411000,12934000,14552000,17390000,19039000,23223000,21671000,23214000,26112000,29236000,30439000,33026000,32578000,28504000,24017000,24414000
 "00000","United States", ,SAINC7N,202,"212","    Mining (except oil and gas)","Thousands of dollars",11169000,10964000,10584000,10817000,10436000,10292000,11013000,11988000,12924000,13479000,14389000,13301000,13922000,15300000,15609000,15334000,15346000,14853000,13459000,14271000,15229000
 "00000","United States", ,SAINC7N,203,"213","    Support activities for mining","Thousands of dollars",8067000,7516000,8192000,9825000,9017000,9502000,10731000,13734000,17607000,21311000,25119000,19997000,21857000,28000000,32092000,33812000,38478000,30719000,21272000,25709000,30908000
